,Periodo,1.Dólar observado,dia,mes,year
2337,1989-01-01 00:00:00,,01,01,1989
2338,1989-01-02 00:00:00,247.2,02,01,1989
2339,1989-01-03 00:00:00,247.45,03,01,1989
2340,1989-01-04 00:00:00,248.49,04,01,1989
2341,1989-01-05 00:00:00,248.69,05,01,1989
2342,1989-01-06 00:00:00,248.73,06,01,1989
2343,1989-01-07 00:00:00,,07,01,1989
2344,1989-01-08 00:00:00,,08,01,1989
2345,1989-01-09 00:00:00,248.84,09,01,1989
2346,1989-01-10 00:00:00,248.07,10,01,1989
2347,1989-01-11 00:00:00,247.51,11,01,1989
2348,1989-01-12 00:00:00,247.7,12,01,1989
2349,1989-01-13 00:00:00,247.69,13,01,1989
2350,1989-01-14 00:00:00,,14,01,1989
2351,1989-01-15 00:00:00,,15,01,1989
2352,1989-01-16 00:00:00,248.31,16,01,1989
2353,1989-01-17 00:00:00,246.85,17,01,1989
2354,1989-01-18 00:00:00,246.58,18,01,1989
2355,1989-01-19 00:00:00,246.59,19,01,1989
2356,1989-01-20 00:00:00,245.87,20,01,1989
2357,1989-01-21 00:00:00,,21,01,1989
2358,1989-01-22 00:00:00,,22,01,1989
2359,1989-01-23 00:00:00,246.12,23,01,1989
2360,1989-01-24 00:00:00,246.37,24,01,1989
2361,1989-01-25 00:00:00,246.41,25,01,1989
2362,1989-01-26 00:00:00,245.87,26,01,1989
2363,1989-01-27 00:00:00,245.46,27,01,1989
2364,1989-01-28 00:00:00,,28,01,1989
2365,1989-01-29 00:00:00,,29,01,1989
2366,1989-01-30 00:00:00,245.62,30,01,1989
2367,1989-01-31 00:00:00,245.9,31,01,1989
2368,1989-02-01 00:00:00,245.84,01,02,1989
2369,1989-02-02 00:00:00,246.05,02,02,1989
2370,1989-02-03 00:00:00,245.86,03,02,1989
2371,1989-02-04 00:00:00,,04,02,1989
2372,1989-02-05 00:00:00,,05,02,1989
2373,1989-02-06 00:00:00,246.02,06,02,1989
2374,1989-02-07 00:00:00,245.31,07,02,1989
2375,1989-02-08 00:00:00,246.18,08,02,1989
2376,1989-02-09 00:00:00,245.47,09,02,1989
2377,1989-02-10 00:00:00,245.34,10,02,1989
2378,1989-02-11 00:00:00,,11,02,1989
2379,1989-02-12 00:00:00,,12,02,1989
2380,1989-02-13 00:00:00,245.98,13,02,1989
2381,1989-02-14 00:00:00,245.81,14,02,1989
2382,1989-02-15 00:00:00,245.89,15,02,1989
